There are 4000 cats
 There are 4005 dogs
参数数目:1299666

Step:   7000, loss: 0.00078771, accuracy: 100.00%, time:2.08s, time left: 0.05hours
Step:   7100, loss: 0.00074670, accuracy: 100.00%, time:2.08s, time left: 0.05hours
Step:   7200, loss: 0.00027561, accuracy: 100.00%, time:2.09s, time left: 0.05hours
Step:   7300, loss: 0.00062263, accuracy: 100.00%, time:2.06s, time left: 0.04hours
Step:   7400, loss: 0.00028288, accuracy: 100.00%, time:2.09s, time left: 0.04hours
Step:   7500, loss: 0.00026110, accuracy: 100.00%, time:2.08s, time left: 0.04hours
Step:   7600, loss: 0.00007730, accuracy: 100.00%, time:2.08s, time left: 0.04hours
Step:   7700, loss: 0.00010998, accuracy: 100.00%, time:2.07s, time left: 0.04hours
Step:   7800, loss: 0.00024977, accuracy: 100.00%, time:2.06s, time left: 0.04hours
Step:   7900, loss: 0.00029978, accuracy: 100.00%, time:2.07s, time left: 0.04hours
Step:   8000, loss: 0.00034131, accuracy: 100.00%, time:2.06s, time left: 0.04hours
Step:   8100, loss: 0.00010870, accuracy: 100.00%, time:2.11s, time left: 0.04hours
Step:   8200, loss: 0.00010444, accuracy: 100.00%, time:2.05s, time left: 0.04hours
Step:   8300, loss: 0.00016800, accuracy: 100.00%, time:2.05s, time left: 0.04hours
Step:   8400, loss: 0.00006809, accuracy: 100.00%, time:2.07s, time left: 0.04hours
Step:   8500, loss: 0.00015120, accuracy: 100.00%, time:2.02s, time left: 0.04hours
Step:   8600, loss: 0.00020012, accuracy: 100.00%, time:2.07s, time left: 0.04hours
Step:   8700, loss: 0.00006005, accuracy: 100.00%, time:2.04s, time left: 0.04hours
Step:   8800, loss: 0.00015167, accuracy: 100.00%, time:2.04s, time left: 0.04hours
Step:   8900, loss: 0.00030832, accuracy: 100.00%, time:2.06s, time left: 0.03hours
Step:   9000, loss: 0.00010707, accuracy: 100.00%, time:2.08s, time left: 0.03hours
Step:   9100, loss: 0.00016634, accuracy: 100.00%, time:2.07s, time left: 0.03hours
Step:   9200, loss: 0.00007891, accuracy: 100.00%, time:2.05s, time left: 0.03hours
Step:   9300, loss: 0.00007047, accuracy: 100.00%, time:2.02s, time left: 0.03hours
Step:   9400, loss: 0.00006066, accuracy: 100.00%, time:2.07s, time left: 0.03hours
Step:   9500, loss: 0.00005905, accuracy: 100.00%, time:2.01s, time left: 0.03hours
Step:   9600, loss: 0.00005416, accuracy: 100.00%, time:2.07s, time left: 0.03hours
Step:   9700, loss: 0.00001427, accuracy: 100.00%, time:2.05s, time left: 0.03hours
Step:   9800, loss: 0.00004982, accuracy: 100.00%, time:2.09s, time left: 0.03hours
Step:   9900, loss: 0.00011787, accuracy: 100.00%, time:2.04s, time left: 0.03hours
Step:  10000, loss: 0.00001740, accuracy: 100.00%, time:2.06s, time left: 0.03hours
Step:  10100, loss: 0.00005452, accuracy: 100.00%, time:2.11s, time left: 0.03hours
Step:  10200, loss: 0.00004744, accuracy: 100.00%, time:2.07s, time left: 0.03hours
Step:  10300, loss: 0.00003918, accuracy: 100.00%, time:2.05s, time left: 0.03hours
