Step:   7100, loss: 0.10726862, accuracy: 96.44%, time:3.63s, time left: 0.08hours
Step:   7200, loss: 0.02965888, accuracy: 100.00%, time:3.48s, time left: 0.08hours
Step:   7300, loss: 0.09454362, accuracy: 96.44%, time:3.47s, time left: 0.07hours
Step:   7400, loss: 0.21747506, accuracy: 92.87%, time:3.46s, time left: 0.07hours
Step:   7500, loss: 0.08488302, accuracy: 100.00%, time:3.59s, time left: 0.07hours
Step:   7600, loss: 0.12849510, accuracy: 92.87%, time:3.46s, time left: 0.07hours
Step:   7700, loss: 0.10203403, accuracy: 92.87%, time:3.54s, time left: 0.07hours
Step:   7800, loss: 0.03603280, accuracy: 100.00%, time:3.46s, time left: 0.07hours
Step:   7900, loss: 0.06494550, accuracy: 100.00%, time:3.45s, time left: 0.07hours
Step:   8000, loss: 0.08733520, accuracy: 96.44%, time:3.59s, time left: 0.07hours
Step:   8100, loss: 0.16852373, accuracy: 92.87%, time:3.59s, time left: 0.07hours
Step:   8200, loss: 0.07084163, accuracy: 96.44%, time:3.47s, time left: 0.07hours
Step:   8300, loss: 0.31856635, accuracy: 78.56%, time:3.48s, time left: 0.06hours
Step:   8400, loss: 0.16832893, accuracy: 89.26%, time:3.44s, time left: 0.06hours
Step:   8500, loss: 0.08037916, accuracy: 96.44%, time:3.42s, time left: 0.06hours
Step:   8600, loss: 0.02366745, accuracy: 100.00%, time:3.52s, time left: 0.06hours
Step:   8700, loss: 0.02259798, accuracy: 100.00%, time:3.50s, time left: 0.06hours
Step:   8800, loss: 0.21007486, accuracy: 92.87%, time:3.48s, time left: 0.06hours
Step:   8900, loss: 0.02169294, accuracy: 100.00%, time:3.50s, time left: 0.06hours
Step:   9000, loss: 0.07773598, accuracy: 96.44%, time:3.51s, time left: 0.06hours
Step:   9100, loss: 0.03720295, accuracy: 100.00%, time:3.62s, time left: 0.06hours
Step:   9200, loss: 0.05176141, accuracy: 96.44%, time:3.41s, time left: 0.05hours
Step:   9300, loss: 0.06873036, accuracy: 96.44%, time:3.41s, time left: 0.05hours
Step:   9400, loss: 0.14688760, accuracy: 92.87%, time:3.45s, time left: 0.05hours
Step:   9500, loss: 0.11832491, accuracy: 96.44%, time:3.45s, time left: 0.05hours
Step:   9600, loss: 0.03090788, accuracy: 100.00%, time:3.48s, time left: 0.05hours
Step:   9700, loss: 0.00434041, accuracy: 100.00%, time:3.55s, time left: 0.05hours
Step:   9800, loss: 0.12190672, accuracy: 92.87%, time:3.51s, time left: 0.05hours
Step:   9900, loss: 0.01261458, accuracy: 100.00%, time:3.45s, time left: 0.05hours
Step:  10000, loss: 0.05022239, accuracy: 100.00%, time:3.64s, time left: 0.05hours
Step:  10100, loss: 0.03979542, accuracy: 100.00%, time:3.64s, time left: 0.05hours
Step:  10200, loss: 0.03032911, accuracy: 100.00%, time:3.64s, time left: 0.05hours
Step:  10300, loss: 0.06588934, accuracy: 100.00%, time:3.48s, time left: 0.05hours
Step:  10400, loss: 0.01627482, accuracy: 100.00%, time:3.55s, time left: 0.05hours
Step:  10500, loss: 0.04943101, accuracy: 100.00%, time:3.45s, time left: 0.04hours
Step:  10600, loss: 0.02912489, accuracy: 100.00%, time:3.55s, time left: 0.04hours
Step:  10700, loss: 0.02651191, accuracy: 100.00%, time:3.47s, time left: 0.04hours
Step:  10800, loss: 0.06242421, accuracy: 100.00%, time:3.52s, time left: 0.04hours
Step:  10900, loss: 0.02138273, accuracy: 100.00%, time:3.51s, time left: 0.04hours
Step:  11000, loss: 0.02013662, accuracy: 100.00%, time:3.48s, time left: 0.04hours
Step:  11100, loss: 0.00816650, accuracy: 100.00%, time:3.77s, time left: 0.04hours
Step:  11200, loss: 0.07936227, accuracy: 96.44%, time:3.52s, time left: 0.04hours
Step:  11300, loss: 0.01269065, accuracy: 100.00%, time:3.50s, time left: 0.04hours
Step:  11400, loss: 0.00550305, accuracy: 100.00%, time:3.44s, time left: 0.03hours
