Epoch: 0/60, step: 46/154, loss: 0.64021, accuracy: 0.83967
Epoch: 0/60, step: 47/154, loss: 0.62726, accuracy: 0.84309
Epoch: 0/60, step: 48/154, loss: 0.61480, accuracy: 0.84635
Epoch: 0/60, step: 49/154, loss: 0.60736, accuracy: 0.84694
Epoch: 0/60, step: 50/154, loss: 0.60157, accuracy: 0.84750
Epoch: 0/60, step: 51/154, loss: 0.59112, accuracy: 0.85049
Epoch: 0/60, step: 52/154, loss: 0.59382, accuracy: 0.85096
Epoch: 0/60, step: 53/154, loss: 0.58371, accuracy: 0.85377
Epoch: 0/60, step: 54/154, loss: 0.58002, accuracy: 0.85185
Epoch: 0/60, step: 55/154, loss: 0.57861, accuracy: 0.85227
Epoch: 0/60, step: 56/154, loss: 0.56911, accuracy: 0.85491
Epoch: 0/60, step: 57/154, loss: 0.56296, accuracy: 0.85526
Epoch: 0/60, step: 58/154, loss: 0.56423, accuracy: 0.85345
Epoch: 0/60, step: 59/154, loss: 0.56442, accuracy: 0.85381
Epoch: 0/60, step: 60/154, loss: 0.55610, accuracy: 0.85625
Epoch: 0/60, step: 61/154, loss: 0.54735, accuracy: 0.85861
Epoch: 0/60, step: 62/154, loss: 0.56126, accuracy: 0.85887
Epoch: 0/60, step: 63/154, loss: 0.56078, accuracy: 0.85913
Epoch: 0/60, step: 64/154, loss: 0.56388, accuracy: 0.85742
Epoch: 0/60, step: 65/154, loss: 0.56557, accuracy: 0.85769
Epoch: 0/60, step: 66/154, loss: 0.57782, accuracy: 0.85606
Epoch: 0/60, step: 67/154, loss: 0.57453, accuracy: 0.85634
Epoch: 0/60, step: 68/154, loss: 0.57503, accuracy: 0.85478
Epoch: 0/60, step: 69/154, loss: 0.56746, accuracy: 0.85688
Epoch: 0/60, step: 70/154, loss: 0.57001, accuracy: 0.85714
Epoch: 0/60, step: 71/154, loss: 0.57611, accuracy: 0.85563
Epoch: 0/60, step: 72/154, loss: 0.57783, accuracy: 0.85417
Epoch: 0/60, step: 73/154, loss: 0.57108, accuracy: 0.85616
Epoch: 0/60, step: 74/154, loss: 0.56945, accuracy: 0.85473
Epoch: 0/60, step: 75/154, loss: 0.57371, accuracy: 0.85333
Epoch: 0/60, step: 76/154, loss: 0.57847, accuracy: 0.85197
Epoch: 0/60, step: 77/154, loss: 0.57454, accuracy: 0.85227
Epoch: 0/60, step: 78/154, loss: 0.58730, accuracy: 0.84936
Epoch: 0/60, step: 79/154, loss: 0.59375, accuracy: 0.84494
Epoch: 0/60, step: 80/154, loss: 0.58820, accuracy: 0.84688
Epoch: 0/60, step: 81/154, loss: 0.59045, accuracy: 0.84568
